"gear_id","item","category_id","status","expiry","number_of_uses","usage_limit","signed_in_out","notes","location","nfc_tag","qr_code","created_at","physical_serial","size","is_pool_bucket","pool_count","pool_capacity","set_size"
"3763","Diesel Tank","fuel","Green","","0","0","IN","","Yard","NFC3760","Hillary Outdoors - Feul - 001","2026-04-30T21:48:48.804917+00:00","","","false","","",""
"1","High ropes ATC / Pilot #1","belay_devices","Green","2033-12-29","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","PilotATCHR-01","","false","","",""
"2","High ropes ATC / Pilot #2","belay_devices","Green","2033-12-29","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","PilotATCHR-02","","false","","",""
"3","High ropes ATC / Pilot #3","belay_devices","Green","2033-12-29","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","PilotATCHR-03","","false","","",""
"4","Tech room Guide ATC-01 / Black","cat_atc_guide","Green","2048-12-25","12","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-01 / Black","","false","","",""
"5","Tech room Guide ATC-02 / White","cat_atc_guide","Green","2048-12-25","7","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-02 / White","","false","","",""
"6","Tech room Guide ATC-03 / Yellow","cat_atc_guide","Green","2048-12-25","12","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-03 / Yellow","","false","","",""
"7","Tech room Guide ATC-04 / Red","cat_atc_guide","Green","2048-12-25","12","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-04 / Red","","false","","",""
"8","Tech room Guide ATC-05 / Blue","cat_atc_guide","Green","2048-12-25","5","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-05 / Blue","","false","","",""
"9","Tech room Guide ATC-06 / Green","cat_atc_guide","Green","2048-12-25","12","2737","OUT","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-06 / Green","","false","","",""
"10","Tech room Guide ATC-07 / Black-White","cat_atc_guide","Green","2048-12-25","8","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-07 / Black-White","","false","","",""
"11","Tech room Guide ATC-08 / Yellow-Red","cat_atc_guide","Green","2048-12-25","10","2737","IN","","Tech Climbing Room","","","2026-04-29T03:33:16.61595+00:00","T-ATC-08 / Yellow-Red","","false","","",""
"24","Climbing room ATC / Blue #1","cat_atcs","Green","2048-12-25","14","2737","IN","","Climbing Room","","","2026-04-29T03:33:16.61595+00:00","CR ATC Blue-01","","false","","",""
"25","Climbing room ATC / Blue #2","cat_atcs","Green","2048-12-25","14","2737","IN","","Climbing Room","","","2026-04-29T03:33:16.61595+00:00","CR ATC Blue-02","","false","","",""
"26","Climbing room ATC / Blue #3","cat_atcs","Green","2048-12-25","14","2737","IN","","Climbing Room","","","2026-04-29T03:33:16.61595+00:00","CR ATC Blue-03","","false","","",""
"3764","Ford GRP998 17 seater White","vehicles","Green","","0","0","IN","","Yard","NFC3764","QR3764","2026-04-30T22:23:06.13147+00:00","GRP998","","false","","",""
"51","High ropes ATC / White #2","cat_atcs","Green","2051-04-22","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","WhiteATCHR-02","","false","","",""
"52","High ropes ATC / White #3","cat_atcs","Green","2051-04-22","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","WhiteATCHR-03","","false","","",""
"53","High ropes Figure 8 / Black #1","cat_figure_8","Green","2051-04-22","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","Figure8HR-01","","false","","",""
"54","High ropes Figure 8 / Black #2","cat_figure_8","Green","2051-04-22","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","Figure8HR-02","","false","","",""
"55","High ropes Figure 8 / Black #3","cat_figure_8","Green","2051-04-22","0","2737","IN","","High Ropes Shed","","","2026-04-29T03:33:16.61595+00:00","Figure8HR-03","","false","","",""
"3765","Ford HCN291 17 Seater White","vehicles","Green","","0","0","IN","","Yard","NFC3765","QR3765","2026-04-30T22:25:43.017071+00:00","HCN291","","false","","",""
"3766","Ford Mondeo Car - ETG586 White","vehicles","Green","","0","0","IN","","Yard","NFC3766","QR3766","2026-04-30T22:27:42.05258+00:00","ETG686","","false","","",""
