"cat_id","name","description","target_stock","created_at","life_safety","behaviour","budget_owner","sized_pool_style","nfc_tag","qr_code","active"
"helmets_kayak","Helmets Kayak","Kayak/canoe helmets","20","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","individual","","","true"
"boots_hiking","Hiking Boots","Hiking boots by size","30","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"boots_mountain","Mountain Boots","Mountain/cave boots by size","10","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"socks","Socks","Socks — stock monitor only","0","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"hats","Hats","Beanies and sun hats","0","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"ice_axes","Ice Axes","Ice axes and tools","10","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"tents","Tents","All tent types","30","2026-04-29T03:32:40.898487+00:00","false","signable","resource","","","","true"
"first_aid","First Aid","First aid kits","5","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"locker_shelter","Locker Emergency Shelter","Per-locker emergency shelters","0","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"vehicles","Vehicles","Vehicles","0","2026-04-29T03:32:40.898487+00:00","false","monitored_only","external","","","","true"
"fuel","Fuel","Fuel tanks","0","2026-04-29T03:32:40.898487+00:00","false","fuel","external","","","","true"
"cr_harnesses","CR Harnesses","Climbing room sit harnesses","95","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","individual","","","true"
"cr_helmets","TR Helmets","Climbing room helmets","31","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"hr_harnesses","HR Harnesses","High ropes harnesses","54","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"tech_harnesses","Tech Harnesses","Tech room individual harnesses","26","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"ff_harnesses","FF Harnesses","Flying fox harnesses","6","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"hr_helmets","HR Helmets","High ropes visitor helmets","3","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"helmets_rafting","Helmets Rafting","Rafting helmets — sized pool","80","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","individual","","","true"
"helmets_tech_rafting","Helmets Tech Rafting","Tech/tertiary rafting helmets","25","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"dynamic_ropes","Dynamic Ropes","Dynamic climbing ropes","45","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"static_ropes","Static & Rigging Ropes","Static, rigging and anchor ropes","14","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"belay_devices","Belay Devices","ATCs, figure 8s, pilots, grigris","70","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"carabiners","Carabiners","Tech room locking carabiners","138","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"slings","Slings & Daisychains","Slings, daisychains","46","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"cord_tape","Cord & Tape / Quad Anchors","Accessory cord, quad anchors, cordlette","42","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"prusiks","Prusiks","Prusik loops","43","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"quickdraws","Quickdraws","Sport climbing quickdraws","102","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"camming_devices","Camming Devices / Trad","Cams and trad rack","120","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"fleece_tops","Fleece Tops","Fleece tops — sized pool","200","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","Hillary Outdoors - Fleeces - 001","true"
"fall_arrest","Personal Safety Ropes","Personal safety ropes","28","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"pfds","PFDs Normal","Normal PFDs (Hutchwilco/Polo/Mission)","134","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","bucket","","","true"
"pfds_rafting","PFDs Rafting","Rafting PFDs (NRS)","78","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","bucket","","","true"
"pfds_tech","PFDs Tech","Tech/tertiary PFDs (Palm)","30","2026-04-29T03:32:40.898487+00:00","true","sized_pool","resource","individual","","","true"
"wetsuits","Wetsuits","3mm wetsuits — sized pool","148","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"spray_skirts","Spray Skirts","Spray decks S/M/L","41","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","individual","","","true"
"throwlines","Throwlines","Throw bags","16","2026-04-29T03:32:40.898487+00:00","true","monitored_only","resource","","","","true"
"dry_tops","Dry Tops","Dry tops","32","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","individual","","","true"
"rope_bags","Rope Bags","Rope bags","27","2026-04-29T03:32:40.898487+00:00","false","signable","resource","","","","true"
"canoe_paddles","Canoe Paddles","Canoe paddles","40","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"whitewater_kayaks","Whitewater Kayaks","WW kayaks","31","2026-04-29T03:32:40.898487+00:00","false","signable","resource","","","","true"
"kayak_paddles","Kayak Paddles","Kayak paddles","73","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"fleece_pants","Fleece Pants","Fleece pants — sized pool","146","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"rain_jackets","Rain Jackets","Waterproof jackets — sized pool","158","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"rain_pants","Waterproof Trousers","Waterproof trousers — sized pool","145","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"gloves","Gloves","Winter gloves — sized pool","59","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"crampons","Crampons","Crampons","30","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"avalanche_probes","Snow Probes","Avalanche probes","30","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
"snow_shovels","Snow Shovels","Snow shovels","60","2026-04-29T03:32:40.898487+00:00","false","signable","resource","","","","true"
"tarps","Tarps & Flys","Tarps and cooking flys","75","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"backpacks","Backpacks","Tramping packs — sized pool","82","2026-04-29T03:32:40.898487+00:00","false","sized_pool","resource","bucket","","","true"
"biolites","Locker Biolites","Biolite stoves","20","2026-04-29T03:32:40.898487+00:00","false","monitored_only","resource","","","","true"
"plbs","PLBs","Personal locator beacons","5","2026-04-29T03:32:40.898487+00:00","true","signable","resource","","","","true"
