"list_id","name","description","nfc_tag","qr_code","created_by","created_at","behaviour","gear_ids"
"lst_set_0001","High ropes ATC / Pilot","Auto-exploded from set: High ropes ATC / Pilot","","","","2026-04-29T03:33:40.97359+00:00","signable","1,2,3"
"lst_set_0045","Climbing room Figure 8 Puke Ab/ Black","Auto-exploded from set: Climbing room Figure 8 Puke Ab/ Black","","","","2026-04-29T03:33:40.97359+00:00","signable","45,46"
"lst_set_0047","High ropes ATC / Black","Auto-exploded from set: High ropes ATC / Black","","","","2026-04-29T03:33:40.97359+00:00","signable","47,48,49"
"lst_set_0050","High ropes ATC / White","Auto-exploded from set: High ropes ATC / White","","","","2026-04-29T03:33:40.97359+00:00","signable","50,51,52"
"lst_set_0053","High ropes Figure 8 / Black","Auto-exploded from set: High ropes Figure 8 / Black","","","","2026-04-29T03:33:40.97359+00:00","signable","53,54,55,56,57,58"
"lst_set_0227","Climbing room Puke Ab Carabiners / Black","Auto-exploded from set: Climbing room Puke Ab Carabiners / Black","","","","2026-04-29T03:33:40.97359+00:00","signable","227,228,229,230,231,232,233,234,235,236,237,238,239,240"
"lst_set_0241","Climbing room Puke Ab Steel Carabiners / Black-White-Red","Auto-exploded from set: Climbing room Puke Ab Steel Carabiners / Black-White-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","241,242,243,244"
"lst_set_0245","Tech locking Carabiner-01 / Black","Auto-exploded from set: Tech locking Carabiner-01 / Black","","","","2026-04-29T03:33:40.97359+00:00","signable","245,246,247,248"
"lst_set_0249","Tech locking Carabiner-02 / White","Auto-exploded from set: Tech locking Carabiner-02 / White","","","","2026-04-29T03:33:40.97359+00:00","signable","249,250,251,252"
"lst_set_0253","Tech locking Carabiner-03 / Yellow","Auto-exploded from set: Tech locking Carabiner-03 / Yellow","","","","2026-04-29T03:33:40.97359+00:00","signable","253,254,255,256"
"lst_set_0257","Tech locking Carabiner-04 / Red","Auto-exploded from set: Tech locking Carabiner-04 / Red","","","","2026-04-29T03:33:40.97359+00:00","signable","257,258,259,260"
"lst_set_0261","Tech locking Carabiner-05 / Blue","Auto-exploded from set: Tech locking Carabiner-05 / Blue","","","","2026-04-29T03:33:40.97359+00:00","signable","261,262,263,264"
"lst_set_0265","Tech locking Carabiner-06 / Green","Auto-exploded from set: Tech locking Carabiner-06 / Green","","","","2026-04-29T03:33:40.97359+00:00","signable","265,266,267,268"
"lst_set_0269","Tech locking Carabiner-07 / Black-White","Auto-exploded from set: Tech locking Carabiner-07 / Black-White","","","","2026-04-29T03:33:40.97359+00:00","signable","269,270,271,272"
"lst_set_0273","Tech locking Carabiner-08 / Yellow-Red","Auto-exploded from set: Tech locking Carabiner-08 / Yellow-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","273,274,275,276"
"lst_set_0277","Tech locking Carabiner-09 / Blue-Green","Auto-exploded from set: Tech locking Carabiner-09 / Blue-Green","","","","2026-04-29T03:33:40.97359+00:00","signable","277,278,279,280"
"lst_set_0281","Tech locking Carabiner-10 / White-Red","Auto-exploded from set: Tech locking Carabiner-10 / White-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","281,282,283,284"
"lst_set_0285","Tech locking Carabiner-11 / Green-Black","Auto-exploded from set: Tech locking Carabiner-11 / Green-Black","","","","2026-04-29T03:33:40.97359+00:00","signable","285,286,287,288"
"lst_set_0289","Tech locking Carabiner-12 / Blue-Yellow","Auto-exploded from set: Tech locking Carabiner-12 / Blue-Yellow","","","","2026-04-29T03:33:40.97359+00:00","signable","289,290,291,292"
"lst_set_0293","Tech locking Carabiner-13 / Red-Black","Auto-exploded from set: Tech locking Carabiner-13 / Red-Black","","","","2026-04-29T03:33:40.97359+00:00","signable","293,294,295,296"
"lst_set_0297","Tech locking Carabiner-14 / Blue-Red","Auto-exploded from set: Tech locking Carabiner-14 / Blue-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","297,298,299,300"
"lst_set_0301","Tech locking Carabiner-15 / White-Green","Auto-exploded from set: Tech locking Carabiner-15 / White-Green","","","","2026-04-29T03:33:40.97359+00:00","signable","301,302,303,304"
"lst_set_0305","Tech locking Carabiner-16 / Blue-Black","Auto-exploded from set: Tech locking Carabiner-16 / Blue-Black","","","","2026-04-29T03:33:40.97359+00:00","signable","305,306,307,308"
"lst_set_0309","Tech locking Carabiner-17 / Green-Red","Auto-exploded from set: Tech locking Carabiner-17 / Green-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","309,310,311,312"
"lst_set_0313","Tech locking Carabiner-18 / Yellow-Green","Auto-exploded from set: Tech locking Carabiner-18 / Yellow-Green","","","","2026-04-29T03:33:40.97359+00:00","signable","313,314,315,316"
"lst_set_0317","Tech locking Carabiner-19 / White-Blue","Auto-exploded from set: Tech locking Carabiner-19 / White-Blue","","","","2026-04-29T03:33:40.97359+00:00","signable","317,318,319,320"
"lst_set_0321","Tech locking Carabiner-20 / Yellow-Black","Auto-exploded from set: Tech locking Carabiner-20 / Yellow-Black","","","","2026-04-29T03:33:40.97359+00:00","signable","321,322,323,324"
"lst_set_0325","Tech locking Carabiner-21 / Yellow-White","Auto-exploded from set: Tech locking Carabiner-21 / Yellow-White","","","","2026-04-29T03:33:40.97359+00:00","signable","325,326,327,328"
"lst_set_0329","Climbing room Quad Anchor set - 01 / White-Red","Auto-exploded from set: Climbing room Quad Anchor set - 01 / White-Red","","Hillary Outdoors - Climbing room Anchors - 001","","2026-04-29T03:33:40.97359+00:00","signable","331,329,330"
"lst_set_0332","Climbing room Quad Anchor set -02 / Green-Black","Auto-exploded from set: Climbing room Quad Anchor set -02 / Green-Black","","Hillary Outdoors - Climbing room Anchors - 003","","2026-04-29T03:33:40.97359+00:00","signable","334,332,333"
"lst_set_0191","Climbing room Alloy Carabiners / Blue","Auto-exploded from set: Climbing room Alloy Carabiners / Blue","","Hillary Outdoors - Upstairs climbing room - 012","","2026-04-29T03:33:40.97359+00:00","signable","192,195,198,193,196,199,191,194,197"
"lst_set_0200","Climbing room Alloy Carabiners / Green","Auto-exploded from set: Climbing room Alloy Carabiners / Green","","Hillary Outdoors - Upstairs climbing room - 017","","2026-04-29T03:33:40.97359+00:00","signable","200,203,206,201,204,207,202,205,208"
"lst_set_0209","Climbing room Alloy Carabiners / Yellow","Auto-exploded from set: Climbing room Alloy Carabiners / Yellow","","Hillary Outdoors - Upstairs climbing room - 002","","2026-04-29T03:33:40.97359+00:00","signable","211,214,209,212,215,210,213,216,217"
"lst_set_0218","Climbing room Alloy Carabiners / red-Green","Auto-exploded from set: Climbing room Alloy Carabiners / Yellow-Green","","Hillary Outdoors - Upstairs climbing room - 004","","2026-04-29T03:33:40.97359+00:00","signable","218,221,224,219,222,225,220,223,226"
"lst_set_0633","Climbing room 5mm Prusik / Black","Auto-exploded from set: Climbing room 5mm Prusik / Black","","Hillary Outdoors - Upstairs climbing room - 018","","2026-04-29T03:33:40.97359+00:00","signable","633,634,635"
"lst_set_0636","Climbing room 5mm Prusik / Blue","Auto-exploded from set: Climbing room 5mm Prusik / Blue","","Hillary Outdoors - Upstairs climbing room - 029","","2026-04-29T03:33:40.97359+00:00","signable","636,637,638"
"lst_set_0642","Climbing room 5mm Prusik / Red","Auto-exploded from set: Climbing room 5mm Prusik / Red","","Hillary Outdoors - Upstairs climbing room - 028","","2026-04-29T03:33:40.97359+00:00","signable","642,643,644"
"lst_set_0645","Climbing room 5mm Prusik / White","Auto-exploded from set: Climbing room 5mm Prusik / White","","Hillary Outdoors - Upstairs climbing room - 023","","2026-04-29T03:33:40.97359+00:00","signable","645,647,646"
"lst_set_0024","Climbing room ATC / Blue","Auto-exploded from set: Climbing room ATC / Blue","","Hillary Outdoors - Upstairs climbing room - 025","","2026-04-29T03:33:40.97359+00:00","signable","24,25,26"
"lst_set_0030","Climbing room ATC / Red","Auto-exploded from set: Climbing room ATC / Red","","Hillary Outdoors - Upstairs climbing room - 020","","2026-04-29T03:33:40.97359+00:00","signable","30,31,32"
"lst_set_0033","Climbing room ATC / Yellow","Auto-exploded from set: Climbing room ATC / Yellow","","Hillary Outdoors - Upstairs climbing room - 015","","2026-04-29T03:33:40.97359+00:00","signable","33,35,34"
"lst_set_0036","Climbing room Figure 8 / Blue","Auto-exploded from set: Climbing room Figure 8 / Blue","","Hillary Outdoors - Upstairs climbing room - 036","","2026-04-29T03:33:40.97359+00:00","signable","37,36,38"
"lst_set_0042","Climbing room Figure 8 Orange","Auto-exploded from set: Climbing room Figure 8 Orange","","Hillary Outdoors - Upstairs climbing room - 013","","2026-04-29T03:33:40.97359+00:00","signable","43,42,44"
"lst_set_0676","Tech room Quickdraws-10 / White-Red","Auto-exploded from set: Tech room Quickdraws-10 / White-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","676,677,678,679,680,681"
"lst_set_0682","Tech room Quickdraws-11 / Green/Black","Auto-exploded from set: Tech room Quickdraws-11 / Green/Black","","","","2026-04-29T03:33:40.97359+00:00","signable","682,683,684,685,686,687"
"lst_set_0688","Tech room Quickdraws-12 / Blue/Yellow","Auto-exploded from set: Tech room Quickdraws-12 / Blue/Yellow","","","","2026-04-29T03:33:40.97359+00:00","signable","688,689,690,691,692,693"
"lst_set_0694","Tech room Quickdraws-13 / Red/Black","Auto-exploded from set: Tech room Quickdraws-13 / Red/Black","","","","2026-04-29T03:33:40.97359+00:00","signable","694,695,696,697,698,699"
"lst_set_0700","Tech room Quickdraws-14 / Blue/Red","Auto-exploded from set: Tech room Quickdraws-14 / Blue/Red","","","","2026-04-29T03:33:40.97359+00:00","signable","700,701,702,703,704,705"
"lst_set_0706","Tech room Quickdraws-15 / White/Green","Auto-exploded from set: Tech room Quickdraws-15 / White/Green","","","","2026-04-29T03:33:40.97359+00:00","signable","706,707,708,709,710,711"
"lst_set_0712","Tech room Quickdraws-16 / Blue/Black","Auto-exploded from set: Tech room Quickdraws-16 / Blue/Black","","","","2026-04-29T03:33:40.97359+00:00","signable","712,713,714,715,716,717"
"lst_set_0718","Tech room Quickdraws-17 / Green/Red","Auto-exploded from set: Tech room Quickdraws-17 / Green/Red","","","","2026-04-29T03:33:40.97359+00:00","signable","718,719,720,721,722,723"
"lst_set_0724","Tech room Quickdraws-01 / Black","Auto-exploded from set: Tech room Quickdraws-01 / Black","","","","2026-04-29T03:33:40.97359+00:00","signable","724,725,726,727,728,729"
"lst_set_0730","Tech room Quickdraws-02 / White","Auto-exploded from set: Tech room Quickdraws-02 / White","","","","2026-04-29T03:33:40.97359+00:00","signable","730,731,732,733,734,735"
"lst_set_0736","Tech room Quickdraws-03 / Yellow","Auto-exploded from set: Tech room Quickdraws-03 / Yellow","","","","2026-04-29T03:33:40.97359+00:00","signable","736,737,738,739,740,741"
"lst_set_0742","Tech room Quickdraws-04 / Red","Auto-exploded from set: Tech room Quickdraws-04 / Red","","","","2026-04-29T03:33:40.97359+00:00","signable","742,743,744,745,746,747"
"lst_set_0748","Tech room Quickdraws-05 / Blue","Auto-exploded from set: Tech room Quickdraws-05 / Blue","","","","2026-04-29T03:33:40.97359+00:00","signable","748,749,750,751,752,753"
"lst_set_0754","Tech room Quickdraws-06 / Green","Auto-exploded from set: Tech room Quickdraws-06 / Green","","","","2026-04-29T03:33:40.97359+00:00","signable","754,755,756,757,758,759"
"lst_set_0760","Tech room Quickdraws-07 / Black-White","Auto-exploded from set: Tech room Quickdraws-07 / Black-White","","","","2026-04-29T03:33:40.97359+00:00","signable","760,761,762,763,764,765"
"lst_set_0766","Tech room Quickdraws-08 / Yellow-Red","Auto-exploded from set: Tech room Quickdraws-08 / Yellow-Red","","","","2026-04-29T03:33:40.97359+00:00","signable","766,767,768,769,770,771"
"lst_set_0772","Tech room Quickdraws-09 / Blue-Green","Auto-exploded from set: Tech room Quickdraws-09 / Blue-Green","","","","2026-04-29T03:33:40.97359+00:00","signable","772,773,774,775,776,777"
"lst_set_0891","Climbing room 4mCR1 Slings","Auto-exploded from set: Climbing room 4mCR1 Slings","","","","2026-04-29T03:33:40.97359+00:00","signable","891,892"
"lst_set_0897","Climbing room 5mCR3 Slings","Auto-exploded from set: Climbing room 5mCR3 Slings","","","","2026-04-29T03:33:40.97359+00:00","signable","897,898"
"lst_set_0899","Climbing room Puke A-Slings (Anchor)","Auto-exploded from set: Climbing room Puke A-Slings (Anchor)","","","","2026-04-29T03:33:40.97359+00:00","signable","899,900"
"lst_set_0901","Climbing room Puke R-Slings (Redirect)","Auto-exploded from set: Climbing room Puke R-Slings (Redirect)","","","","2026-04-29T03:33:40.97359+00:00","signable","901,902"
"LST895","Puke Absail Kit","Full Puke absail kit","NFC-LIST-895","QR-LIST-895","","2026-04-30T01:06:52.118913+00:00","signable","45,46,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,899,900,901,902,832,841,883"
"lst_trad_yellow","Trad Rack Yellow","Auto-built — 44 items per rack","","","","2026-04-30T20:36:58.875328+00:00","signable","2988,2989,2990,2991,2992,2993,2994,2995,2996,3013,3014,3015,2997,2998,2999,3000,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031"
"lst_trad_red","Trad Rack Red","Auto-built — 44 items per rack","","","","2026-04-30T20:36:58.875328+00:00","signable","3032,3033,3034,3035,3036,3037,3038,3039,3040,3057,3058,3059,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075"
"lst_trad_green","Trad Rack Green","Auto-built — 44 items per rack","","","","2026-04-30T20:36:58.875328+00:00","signable","3076,3077,3078,3079,3080,3081,3082,3083,3084,3101,3102,3103,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3096,3097,3098,3099,3100,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117,3118,3119"
"lst_trad_white","Trad Rack White","Auto-built — 44 items per rack","","","","2026-04-30T20:36:58.875328+00:00","signable","3120,3121,3122,3123,3124,3125,3126,3127,3128,3145,3146,3147,3129,3130,3131,3132,3133,3134,3135,3136,3137,3138,3139,3140,3141,3142,3143,3144,3148,3149,3150,3151,3152,3153,3154,3155,3156,3157,3158,3159,3160,3161,3162,3163"
"lst_trad_blue","Trad Rack Blue","Auto-built — 44 items per rack","","","","2026-04-30T20:36:58.875328+00:00","signable","3164,3165,3166,3167,3168,3169,3170,3171,3172,3189,3190,3191,3173,3174,3175,3176,3177,3178,3179,3180,3181,3182,3183,3184,3185,3186,3187,3188,3192,3193,3194,3195,3196,3197,3198,3199,3200,3201,3202,3203,3204,3205,3206,3207"
