"loc_id","name","description","active","created_at"
"loc_climbing_room","Climbing Room","","true","2026-04-29T03:32:57.037353+00:00"
"loc_dub","DUB","","true","2026-04-29T03:32:57.037353+00:00"
"loc_high_ropes_shed","High Ropes Shed","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker","Locker","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_01","Locker 01","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_02","Locker 02","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_03","Locker 03","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_04","Locker 04","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_05","Locker 05","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_06","Locker 06","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_07","Locker 07","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_08","Locker 08","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_09","Locker 09","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_10","Locker 10","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_11","Locker 11","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_12","Locker 12","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_13","Locker 13","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_14","Locker 14","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_15","Locker 15","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_16","Locker 16","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_17","Locker 17","","true","2026-04-29T03:32:57.037353+00:00"
"loc_locker_18","Locker 18","","true","2026-04-29T03:32:57.037353+00:00"
"loc_meeting_room","Meeting Room","","true","2026-04-29T03:32:57.037353+00:00"
"loc_tech_climbing_room","Tech Climbing Room","","true","2026-04-29T03:32:57.037353+00:00"
"loc_tech_shipping_container","Tech Shipping Container","","true","2026-04-29T03:32:57.037353+00:00"
"loc_white_water_shipping_container","White water shipping container","","true","2026-04-29T03:32:57.037353+00:00"
"loc_ydc_kitchen","YDC Kitchen","","true","2026-04-29T03:32:57.037353+00:00"
"loc_resource_gear_room","Resource Gear Room","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_glove_bin","Resource Centre glove bin","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_warm_beanies_bin","Resource Centre Warm Beanies Bin","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_sun_hat_bin","Resource Centre Sun hat bin","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_socks_bin","Resource Centre Socks bin","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_clothes_racks","Resource Centre Clothes racks","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_clothes_shelves","Resource Centre Clothes Shelves","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre_clothes_rack","Resource Centre Clothes Rack","","false","2026-04-29T03:32:57.037353+00:00"
"loc_resource_centre","Resource Centre","","false","2026-04-29T03:32:57.037353+00:00"
"loc_rc_upstairs_storage","RC Upstairs Storage","","false","2026-04-29T03:32:57.037353+00:00"
"loc_middle_storage_container","Middle Storage container","","false","2026-04-29T03:32:57.037353+00:00"
"loc_middle_shipping_container","Middle Shipping container","","false","2026-04-29T03:32:57.037353+00:00"
"loc_lockers","Lockers","","false","2026-04-29T03:32:57.037353+00:00"
"loc_high_ropes_store","High Ropes Store","","false","2026-04-29T03:32:57.037353+00:00"
"loc_boot_room","Boot room","","false","2026-04-29T03:32:57.037353+00:00"
"loc_clothes_room","Clothes Room","","true","2026-04-30T01:25:31.471857+00:00"
"loc_wetsuit_shipping_container","Wetsuit Shipping Container","","true","2026-04-30T01:25:33.738158+00:00"
"loc_yard","Yard","","true","2026-04-30T01:25:35.063322+00:00"
"loc_attic","Attic","","true","2026-04-30T01:25:37.233017+00:00"
"loc_cage_yardside","Cage Yardside","","true","2026-04-30T01:25:47.932436+00:00"
"loc_cage_sink_side","Cage Sink side","","true","2026-04-30T01:25:56.713605+00:00"
"loc_climbing_wall","Climbing Wall","","true","2026-04-30T01:26:20.92967+00:00"
"loc_secret_room","Secret Room","","true","2026-04-30T01:26:28.487557+00:00"
"loc_pool","Pool","Indoor swimming pool","true","2026-04-30T20:36:58.875328+00:00"
"loc_container_3","Container 3","Yard container 3 — canoes","true","2026-04-30T20:36:58.875328+00:00"
"loc_tech_container_5","Tech Container 5","Tech container 5 — kayak paddles","true","2026-04-30T20:36:58.875328+00:00"
