"usage_id","item","gear_id","list_id","signed_in_out","time_out","time_in","instructor","use_number_on_item","created_at"
"7","Fleece Tops — L × 10","1272","","IN","2026-04-30T21:31:26.305+00:00","2026-04-30T21:29:29.318+00:00","endao","10","2026-04-30T21:31:27.722737+00:00"
"6","Fleece Tops — 2XL × 2","1274","","IN","2026-04-30T21:31:01.47+00:00","2026-04-30T21:29:30.473+00:00","endao","2","2026-04-30T21:31:05.669231+00:00"
"5","Fleece Tops — XL × 2","1273","","IN","2026-04-30T21:31:01.47+00:00","2026-04-30T21:29:31.222+00:00","endao","2","2026-04-30T21:31:05.38145+00:00"
"4","Fleece Tops — L × 2","1272","","IN","2026-04-30T21:31:01.47+00:00","2026-04-30T21:29:32.096+00:00","endao","2","2026-04-30T21:31:05.095593+00:00"
"3","Fleece Tops — M × 2","1271","","IN","2026-04-30T21:31:01.47+00:00","2026-04-30T21:29:33.703+00:00","endao","2","2026-04-30T21:31:04.800232+00:00"
"2","Fleece Tops — S × 2","1270","","IN","2026-04-30T21:31:01.47+00:00","2026-04-30T21:29:34.668+00:00","endao","2","2026-04-30T21:31:04.498943+00:00"
"13","Fleece Tops — M × 3","1271","","IN","2026-04-30T21:50:52.514+00:00","2026-04-30T21:55:01.071+00:00","endao","3","2026-04-30T21:50:54.051638+00:00"
"12","Fleece Tops — 2XL × 5","1274","","IN","2026-04-30T21:50:08.748+00:00","2026-04-30T21:55:03.218+00:00","endao","5","2026-04-30T21:50:12.450066+00:00"
"11","Fleece Tops — XL × 2","1273","","IN","2026-04-30T21:50:08.748+00:00","2026-04-30T21:55:03.851+00:00","endao","2","2026-04-30T21:50:12.166363+00:00"
"10","Fleece Tops — L × 2","1272","","IN","2026-04-30T21:50:08.748+00:00","2026-04-30T21:55:04.454+00:00","endao","2","2026-04-30T21:50:11.797979+00:00"
"9","Fleece Tops — M × 1","1271","","IN","2026-04-30T21:50:08.748+00:00","2026-04-30T21:55:05.152+00:00","endao","1","2026-04-30T21:50:11.525454+00:00"
"8","Fleece Tops — S × 2","1270","","IN","2026-04-30T21:50:08.748+00:00","2026-04-30T21:55:06.402+00:00","endao","2","2026-04-30T21:50:11.242118+00:00"
"14","Climbing room LD03 60m","836","","IN","2026-04-30T21:54:52.42+00:00","2026-04-30T21:55:10.151+00:00","endao","36","2026-04-30T21:54:53.869286+00:00"
"15","Fleece Tops — XL × 2","1273","","IN","2026-04-30T22:43:40.538+00:00","2026-04-30T22:43:46.346+00:00","endao","2","2026-04-30T22:43:43.195045+00:00"
"16","Fleece Tops — L × 2","1272","","IN","2026-04-30T22:44:10.187+00:00","2026-04-30T22:44:16.365+00:00","endao","2","2026-04-30T22:44:12.045216+00:00"
"18","Fleece Tops — 2XL × 1","1274","","IN","2026-04-30T22:44:10.187+00:00","2026-04-30T22:44:17.145+00:00","endao","1","2026-04-30T22:44:12.734921+00:00"
"17","Fleece Tops — XL × 1","1273","","IN","2026-04-30T22:44:10.187+00:00","2026-04-30T22:44:17.725+00:00","endao","1","2026-04-30T22:44:12.33033+00:00"
"19","Fleece Tops — S × 2","1270","","IN","2026-04-30T22:52:20.97+00:00","2026-04-30T22:52:29.641+00:00","endao","2","2026-04-30T22:52:23.055409+00:00"
"20","Fleece Tops — L × 3","1272","","IN","2026-04-30T22:52:20.97+00:00","2026-04-30T22:52:30.253+00:00","endao","3","2026-04-30T22:52:23.443647+00:00"
"21","Fleece Tops — XL × 1","1273","","IN","2026-04-30T22:52:20.97+00:00","2026-04-30T22:52:30.848+00:00","endao","1","2026-04-30T22:52:23.722484+00:00"
